year,week,total_specimens,n_a_2009_h1n1,n_a_h1,n_a_h3,n_a_subtyping_not_performed,n_a_unable_to_subtype,n_b,n_h3n2v,n_b_vic,n_b_yam,n_total_a,n_total_b
2013,52,15748,3004,0,47,1749,0,93,0,NA,NA,4800,93
2014,1,17779,3477,0,84,1538,0,88,0,NA,NA,5099,88
2014,2,18253,3544,0,106,1316,0,91,0,NA,NA,4966,91
2014,3,17480,3263,0,126,1160,0,131,0,NA,NA,4549,131
2014,4,16468,2643,0,132,1042,0,185,0,NA,NA,3817,185
2014,5,14618,1945,0,94,776,0,175,0,NA,NA,2815,175
2014,6,12995,1571,0,130,557,0,219,0,NA,NA,2258,219
2014,7,11892,1133,0,102,489,0,227,0,NA,NA,1724,227
2014,8,11127,840,0,93,337,0,248,0,NA,NA,1270,248
2014,9,10252,581,0,102,261,0,274,0,NA,NA,944,274
2014,10,9441,413,0,102,207,0,301,0,NA,NA,722,301
2014,11,8922,351,0,138,163,0,334,0,NA,NA,652,334
2014,12,8216,212,0,164,190,0,464,0,NA,NA,566,464
2014,13,7905,156,0,184,188,0,525,0,NA,NA,528,525
2014,14,7531,116,0,236,146,0,595,0,NA,NA,498,595
2014,15,7179,55,0,227,168,0,624,0,NA,NA,450,624
2014,16,6648,36,0,222,138,0,516,0,NA,NA,396,516
2014,17,6317,35,0,191,129,0,469,0,NA,NA,355,469
2014,18,5865,13,0,151,131,0,447,0,NA,NA,295,447
2014,19,5436,9,0,130,104,0,354,0,NA,NA,243,354
2014,20,5315,8,0,119,102,0,322,0,NA,NA,229,322
2014,21,4833,4,0,105,62,0,236,0,NA,NA,171,236
2014,22,4757,3,0,115,80,0,225,0,NA,NA,198,225
2014,23,4310,3,0,97,51,0,160,0,NA,NA,151,160
2014,24,4140,3,0,101,50,0,140,0,NA,NA,154,140
2014,25,3877,3,0,69,43,0,113,0,NA,NA,115,113
2014,26,3434,1,0,45,28,0,100,0,NA,NA,74,100
2014,27,3144,2,0,47,26,0,83,0,NA,NA,75,83
2014,28,3057,3,0,55,29,0,66,0,NA,NA,87,66
2014,29,3188,0,0,41,19,0,61,0,NA,NA,60,61
2014,30,3127,2,0,37,28,0,50,0,NA,NA,67,50
2014,31,2939,2,0,53,25,0,27,0,NA,NA,80,27
2014,32,2973,5,0,44,15,0,23,1,NA,NA,64,23
2014,33,3270,1,0,54,21,0,36,0,NA,NA,76,36
2014,34,3339,3,0,45,19,0,42,1,NA,NA,67,42
2014,35,3973,6,0,62,26,0,42,0,NA,NA,94,42
2014,36,4227,7,0,44,32,0,34,0,NA,NA,83,34
2014,37,5324,1,0,66,33,0,31,0,NA,NA,100,31
2014,38,5681,6,0,81,31,0,53,0,NA,NA,118,53
2014,39,5905,1,0,87,51,0,65,0,NA,NA,139,65
2014,40,9567,2,0,100,97,0,110,0,NA,NA,199,110
2014,41,11036,5,0,125,149,0,160,0,NA,NA,279,160
2014,42,11729,7,0,226,186,0,164,1,NA,NA,419,164
2014,43,11385,5,0,212,200,0,127,0,NA,NA,417,127
2014,44,11531,4,0,295,292,0,136,0,NA,NA,591,136
2014,45,12918,6,0,506,489,0,155,0,NA,NA,1001,155
2014,46,13777,8,0,633,629,0,147,0,NA,NA,1270,147
2014,47,16166,5,0,1002,1233,0,163,0,NA,NA,2240,163
2014,48,18504,8,0,1538,1878,0,200,0,NA,NA,3424,200
2014,49,23068,13,0,2585,2483,0,249,0,NA,NA,5081,249
2014,50,29223,6,0,3823,4047,0,315,0,NA,NA,7876,315
2014,51,37114,4,0,4978,6163,0,325,0,NA,NA,11145,325
2014,52,42518,10,0,5549,7847,0,392,0,NA,NA,13406,392
2014,53,41550,10,0,5260,5695,0,409,0,NA,NA,10965,409
2015,1,38508,11,0,4908,3955,0,372,0,NA,NA,8874,372
2015,2,35598,9,0,4586,3580,0,473,0,NA,NA,8175,473
2015,3,34194,4,0,3918,3513,0,548,0,NA,NA,7435,548
2015,4,32003,11,0,3475,2789,0,606,0,NA,NA,6275,606
2015,5,29581,10,0,2719,2170,0,723,0,NA,NA,4899,723
2015,6,26994,7,0,1746,1575,0,869,0,NA,NA,3328,869
2015,7,24293,10,0,1242,1108,0,1010,0,NA,NA,2360,1010
2015,8,22294,18,0,954,740,0,1127,0,NA,NA,1712,1127
2015,9,20420,5,0,774,558,0,1352,0,NA,NA,1337,1352
2015,10,19845,8,0,458,405,0,1656,0,NA,NA,871,1656
2015,11,18419,2,0,340,302,0,1565,0,NA,NA,644,1565
2015,12,16980,7,0,227,197,0,1479,0,NA,NA,431,1479
2015,13,15125,4,0,168,119,0,1377,0,NA,NA,291,1377
2015,14,14743,8,0,87,107,0,1272,0,NA,NA,202,1272
2015,15,13389,13,0,66,79,0,969,0,NA,NA,158,969
2015,16,11873,2,0,48,40,0,683,0,NA,NA,90,683
2015,17,10770,4,0,26,36,0,544,0,NA,NA,66,544
2015,18,9784,2,0,12,19,0,494,0,NA,NA,33,494
2015,19,9188,2,0,16,26,0,340,0,NA,NA,44,340
2015,20,8412,1,0,21,19,0,267,0,NA,NA,41,267
